naics97,naics02,mappings,wt_mappings
421210,423210,1,.33333334
421210,425110,1,.33333334
421210,425120,1,.33333334
42122/,42322/,1,.33333334
42122/,42511/,1,.33333334
42122/,42512/,1,.33333334
421220,423220,1,.33333334
421220,425110,1,.33333334
421220,425120,1,.33333334
4213//,4233//,4,.33333334
4213//,4251//,8,.66666669
42131/,42331/,1,.33333334
42131/,42511/,1,.33333334
42131/,42512/,1,.33333334
421310,423310,1,.33333334
421310,425110,1,.33333334
421310,425120,1,.33333334
42132/,42332/,1,.33333334
42132/,42511/,1,.33333334
42132/,42512/,1,.33333334
421320,423320,1,.33333334
421320,425110,1,.33333334
421320,425120,1,.33333334
42133/,42333/,1,.33333334
42133/,42511/,1,.33333334
42133/,42512/,1,.33333334
421330,423330,1,.33333334
421330,425110,1,.33333334
421330,425120,1,.33333334
42139/,42339/,1,.33333334
42139/,42511/,1,.33333334
42139/,42512/,1,.33333334
421390,423390,1,.33333334
421390,425110,1,.33333334
421390,425120,1,.33333334
4214//,4234//,7,.33333334
4214//,4251//,14,.66666669
42141/,42341/,1,.33333334
42141/,42511/,1,.33333334
42141/,42512/,1,.33333334
421410,423410,1,.33333334
421410,425110,1,.33333334
421410,425120,1,.33333334
42142/,42342/,1,.33333334
42142/,42511/,1,.33333334
42142/,42512/,1,.33333334
421420,423420,1,.33333334
421420,425110,1,.33333334
421420,425120,1,.33333334
42143/,42343/,1,.33333334
42143/,42511/,1,.33333334
42143/,42512/,1,.33333334
421430,423430,1,.33333334
421430,425110,1,.33333334
421430,425120,1,.33333334
42144/,42344/,1,.33333334
42144/,42511/,1,.33333334
42144/,42512/,1,.33333334
421440,423440,1,.33333334
421440,425110,1,.33333334
421440,425120,1,.33333334
42145/,42345/,1,.33333334
42145/,42511/,1,.33333334
42145/,42512/,1,.33333334
421450,423450,1,.33333334
