sic87,naics97,mapping_ec,mapping_official,mapping_all,weight_mapping_ec,weight_mapping_official,weight_mapping_all,weight_emp,weight_estabs,weight_pay,weight_ship,rw1,tot_rw,rw2,weight_hybrid,source,weight_shipments,emp,estabs,shipments,pay,test
1099,212299,1,1,1,1,1,1,1,1,1,,,0,1,1,both,1,2688,36,540853,122628,1
1200,212///,3,3,3,.75,.75,.75,.94628757,.83021981,.95826107,.97590339,,0,1,.94628757,,,,,,,1
1200,213///,1,1,1,.25,.25,.25,.053712428,.16978022,.041738939,.024096576,,0,1,.053712428,,,,,,,1
1220,2121//,2,2,2,1,1,1,1,1,1,1,,0,1,1,,,,,,,1
1221,212111,1,1,1,1,1,1,1,1,1,,,0,1,1,both,1,36632,829,12451067,1652355,1
1222,212112,1,1,1,1,1,1,1,1,1,,,0,1,1,both,1,50192,614,10793419,2295137,1
1230,2121//,1,1,1,1,1,1,1,1,1,1,,0,1,1,,,,,,,1
1231,212113,1,1,1,1,1,1,1,1,1,,,0,1,1,both,1,1141,68,182508,36326,1
1240,2131//,1,1,1,1,1,1,1,1,1,1,,0,1,1,,,,,,,1
1241,213113,1,1,1,1,1,1,1,1,1,,,0,1,1,both,1,4993,309,578449,173523,1
1300,211///,2,2,2,.33333334,.33333334,.33333334,.40650892,.48272258,.49474546,.84185606,,0,1,.40650892,,,,,,,1
1300,213///,3,3,3,.5,.5,.5,.58283353,.50490737,.49585614,.15389796,,0,1,.58283353,,,,,,,1
1300,541///,1,1,1,.16666667,.16666667,.16666667,.010657565,.012370056,.0093984008,.0042459522,,0,1,.010657565,,,,,,,1
1310,2111//,1,1,1,1,1,1,1,1,1,1,,0,1,1,,,,,,,1
1311,211111,1,1,1,1,1,1,1,1,1,,,0,1,1,both,1,100333,7784,78009089,4968972,1
1320,2111//,1,1,1,1,1,1,1,1,1,1,,0,1,1,,,,,,,1
1321,211112,1,1,1,1,1,1,1,1,1,,,0,1,1,both,1,10548,528,24828378,541588,1
1380,2131//,3,3,3,.75,.75,.75,.98204261,.9760862,.9813987,.97315133,,0,1,.98204261,,,,,,,1
1380,5413//,1,1,1,.25,.25,.25,.017957414,.023913777,.018601319,.026848661,,0,1,.017957414,,,,,,,1
1381,213111,1,1,1,1,1,1,1,1,1,,,0,1,1,both,1,52858,1628,7298223,1900985,1
