sic72,sic77,mappings,weight_mappings
6153,6153,1,1
6159,6159,1,1
6160,6160,2,1
6162,6162,1,1
6163,6163,1,1
6200,6200,4,1
6210,6210,1,1
6211,6211,1,1
6220,6220,1,1
6221,6221,1,1
6230,6230,1,1
6231,6231,1,1
6280,6280,1,1
6281,6281,1,1
6300,6300,8,1
6310,6310,1,1
6311,6311,1,1
6320,6320,2,1
6321,6321,1,1
6324,6324,1,1
6330,6330,1,1
6331,6331,1,1
6350,6350,1,1
6351,6351,1,1
6360,6360,1,1
6361,6361,1,1
6370,6370,1,1
6371,6371,1,1
6390,6390,1,1
6399,6399,1,1
6400,6400,1,1
6410,6410,1,1
6411,6411,1,1
6500,6500,10,1
6510,6510,6,1
6512,6512,1,1
6513,6513,1,1
6514,6514,1,1
6515,6515,1,1
6517,6517,1,1
6519,6519,1,1
6530,6530,1,1
6531,6531,1,1
6540,6540,1,1
6541,6541,1,1
6550,6550,2,1
6552,6552,1,1
6553,6553,1,1
6600,6600,1,1
6610,6610,1,1
6611,6611,1,1
6700,6700,13,1
6710,6710,1,1
6711,6711,1,1
6720,6720,4,1
6722,6722,1,1
6723,6723,1,1
6724,6724,1,1
6725,6725,1,1
6730,6730,2,1
6732,6732,1,1
6733,6733,1,1
6790,6790,6,1
6792,6792,1,1
6793,6793,1,1
6794,6794,1,1
6799,6798,1,.5
6799,6799,1,.5
679\,679\,1,1
70--,70--,132,1
7000,7000,5,1
7010,7010,1,1
7011,7011,1,1
7020,7020,1,1
7021,7021,1,1
7030,7030,2,1
7032,7032,1,1
7033,7033,1,1
7040,7040,1,1
7041,7041,1,1
7200,7200,15,1
7210,7210,9,1
7211,7211,1,1
7212,7212,1,1
7213,7213,1,1
7214,7214,1,1
7215,7215,1,1
7216,7216,1,1
7217,7217,1,1
7218,7218,1,1
7219,7219,1,1
7220,7220,1,1
7221,7221,1,1
7230,7230,1,1
7231,7231,1,1
7240,7240,1,1
7241,7241,1,1
7250,7250,1,1
7251,7251,1,1
7260,7260,1,1
7261,7261,1,1
7290,7290,1,1
7299,7299,1,1
7300,7300,27,1
7310,7310,4,1
7311,7311,1,1
7312,7312,1,1
7313,7313,1,1
7319,7319,1,1
7320,7320,1,1
7321,7321,1,1
7330,7330,4,1
7331,7331,1,1
7332,7332,1,1
7333,7333,1,1
7339,7339,1,1
7340,7340,3,1
7341,7341,1,1
7342,7342,1,1
7349,7349,1,1
7350,7350,1,1
7351,7351,1,1
7360,7360,3,1
7361,7361,1,1
7362,7362,1,1
7369,7369,1,1
7370,7370,3,1
7372,7372,1,1
7374,7374,1,1
7379,7379,1,1
7390,7390,8,1
7391,7391,1,1
7392,7392,1,1
7393,7393,1,1
7394,7394,1,1
7395,7395,1,1
7396,7396,1,1
7397,7397,1,1
7399,7399,1,1
7500,7500,12,1
7510,7510,3,1
7512,7512,1,1
7513,7513,1,1
7519,7519,1,1
7520,7520,2,1
7523,7523,1,1
7525,7525,1,1
7530,7530,5,1
7531,7531,1,1
7534,7534,1,1
7535,7535,1,1
7538,7538,1,1
7539,7539,1,1
7540,7540,2,1
7542,7542,1,1
7549,7549,1,1
7600,7600,8,1
7620,7620,3,1
7622,7622,1,1
7623,7623,1,1
7629,7629,1,1
7630,7630,1,1
7631,7631,1,1
7640,7640,1,1
7641,7641,1,1
7690,7690,3,1
7692,7692,1,1
7694,7694,1,1
7699,7699,1,1
7800,7800,8,1
7810,7810,3,1
7813,7813,1,1
7814,7814,1,1
7819,7819,1,1
7820,7820,3,1
7823,7823,1,1
7824,7824,1,1
7829,7829,1,1
7830,7830,2,1
7832,7832,1,1
7833,7833,1,1
7900,7900,12,1
7910,7910,1,1
7911,7911,1,1
7920,7920,2,1
7922,7922,1,1
7929,7929,1,1
7930,7930,2,1
7932,7932,1,1
7933,7933,1,1
7940,7940,2,1
7941,7941,1,1
7948,7948,1,1
7990,7990,5,1
7992,7992,1,1
7993,7993,1,1
7996,7996,1,1
