psu2,hh_size,age_category,gender,weight,store_installment_debt,bank_installment_debt,store_revolving_debt,has_charge_account,income,year
51,2,4,1,378,0,0,50,1,327,1949
16,3,2,1,411,0,230,0,0,200,1949
13,2,5,1,411,0,0,0,0,240,1949
26,3,4,1,234,0,0,0,0,310,1949
64,2,6,1,208,0,0,0,1,1750,1949
64,2,3,1,208,0,0,200,1,532,1949
64,4,2,1,208,0,1400,0,0,1302,1949
64,4,5,1,208,0,0,0,1,1000,1949
64,3,4,1,208,0,0,200,1,1800,1949
25,3,3,1,234,0,0,0,1,300,1949
68,2,1,1,208,0,0,0,0,217,1949
14,3,2,1,411,0,0,0,0,411,1949
79,6,3,1,208,0,0,20,1,1080,1949
79,1,6,1,411,0,0,0,0,118,1949
47,2,6,2,208,0,0,0,1,700,1949
18,3,4,1,411,0,0,0,0,280,1949
84,2,3,1,378,0,0,0,0,110,1949
32,2,4,1,184,0,0,0,0,131,1949
38,2,5,1,378,0,0,0,0,100,1949
41,4,4,1,378,0,4000,0,0,2504,1949
32,5,3,1,184,0,0,0,0,84,1949
43,3,2,1,378,0,0,0,0,259,1949
43,7,3,1,378,0,150,100,1,303,1949
40,5,3,1,411,0,170,0,0,120,1949
40,4,2,1,411,50,0,0,1,240,1949
24,3,4,1,234,0,0,0,0,374,1949
24,5,3,1,234,50,200,0,0,140,1949
24,2,2,2,234,0,0,0,0,115,1949
24,4,2,1,473,0,200,0,0,418,1949
84,3,3,1,411,0,0,200,1,714,1949
39,7,5,1,378,0,0,0,0,67,1949
39,3,3,1,378,0,0,30,1,170,1949
82,4,2,1,135,0,0,150,1,1721,1949
37,3,2,1,411,0,50,0,0,150,1949
17,1,2,2,411,0,0,0,0,250,1949
89,3,3,2,208,0,0,0,0,224,1949
89,6,3,1,473,0,0,40,1,320,1949
66,2,5,1,473,0,0,0,0,435,1949
47,5,3,1,378,0,0,100,1,450,1949
66,2,2,1,473,0,0,0,0,283,1949
45,3,3,1,208,0,0,70,1,523,1949
45,5,2,1,378,0,230,0,0,260,1949
45,3,4,1,378,0,600,0,0,390,1949
69,8,2,1,234,0,700,0,0,216,1949
69,4,2,1,234,0,1200,0,0,121,1949
76,0,6,1,411,0,0,0,0,99,1949
76,4,3,1,208,50,0,0,0,312,1949
19,4,3,1,135,0,0,50,1,760,1949
91,2,4,1,411,0,0,0,0,410,1949
66,4,2,1,208,0,0,200,1,3400,1949
37,2,1,1,184,0,0,0,0,57,1949
27,2,6,1,234,0,0,0,1,330,1949
77,8,4,1,234,0,0,0,0,385,1949
77,2,6,1,473,0,0,0,1,745,1949
50,3,6,1,378,0,0,0,0,0,1949
50,4,2,1,378,0,0,0,0,255,1949
69,2,4,1,208,0,0,0,1,1620,1949
69,1,6,1,552,0,0,0,0,100,1949
51,3,2,1,378,0,0,70,1,250,1949
72,1,6,2,411,0,0,0,0,62,1949
38,2,3,1,378,0,1130,0,0,528,1949
50,1,6,1,353,0,50,0,0,70,1949
77,2,1,1,234,0,2790,160,1,168,1949
16,2,4,2,135,0,0,100,1,588,1949
16,2,3,1,411,0,80,0,0,153,1949
38,4,2,1,208,1000,0,0,0,400,1949
38,2,1,1,378,0,0,30,1,250,1949
86,2,6,1,378,0,0,0,0,106,1949
92,1,4,2,319,0,0,0,0,236,1949
84,2,5,1,378,0,0,0,0,90,1949
84,4,2,1,378,0,300,30,1,330,1949
37,1,2,2,353,0,0,0,0,10,1949
12,2,4,1,135,0,0,0,1,3000,1949
37,4,3,1,184,0,0,0,0,124,1949
66,4,4,2,473,0,0,0,0,200,1949
47,1,6,2,378,0,0,0,0,300,1949
