weight,debt,durable,durable_debt,income,year,has_card,card_spend,card_bal,has_card_s,card_spend_s,card_bal_s
1,,480,0,13750,1977,1,180,70,1,180,70
1,,488,0,21250,1977,1,240,0,1,,
1,,400,400,,1977,1,108,0,1,,
1,,0,0,13750,1977,1,480,40,1,480,40
1,,0,0,18750,1977,1,6540,150,1,,
1,,600,0,62500,1977,1,5760,0,1,600,
1,,0,0,6750,1977,1,0,0,,,
1,,0,0,13750,1977,1,0,0,1,,
1,,0,0,21250,1977,1,2820,570,1,240,70
1,,0,0,18750,1977,1,660,55,1,,
1,,600,600,13750,1977,1,240,70,1,,50
1,,300,300,16250,1977,1,1200,400,1,1200,400
1,,0,0,6750,1977,1,480,100,1,480,100
1,,0,0,5500,1977,0,0,0,,,
1,,0,0,23750,1977,1,2700,0,1,300,
1,,650,0,,1977,1,6300,0,1,1200,
1,,0,0,5500,1977,1,0,0,1,,
1,,600,0,16250,1977,1,600,100,,,
1,,0,0,4500,1977,1,60,60,,,
1,,325,0,16250,1977,1,480,40,1,,
1,,0,0,6750,1977,1,144,0,1,,
1,,298,258,21250,1977,1,2400,500,,,
1,,0,0,,1977,1,480,40,1,,
1,,2178.49327322421,600,13750,1977,1,600,50,1,600,50
1,,300,0,9500,1977,1,300,0,1,300,
1,,555,0,23750,1977,1,480,0,,,
1,,0,0,4500,1977,0,0,0,,,
1,,0,0,2500,1977,0,0,0,,,
1,,0,0,,1977,0,0,0,,,
1,,940,940,23750,1977,1,2640,600,1,1200,100
1,,3000,0,37500,1977,1,2400,0,1,,
1,,0,0,23750,1977,1,1080,0,1,,
1,,1456,0,21250,1977,1,0,0,1,,
1,,795,0,27500,1977,1,1560,40,1,1200,40
1,,0,0,,1977,1,0,0,1,,
1,,545,0,13750,1977,1,0,0,1,,
1,,0,0,2500,1977,0,0,0,,,
1,,375,0,8250,1977,1,264,105,1,264,105
1,,130,0,,1977,0,0,0,,,
1,,0,0,13750,1977,1,1080,70,1,600,50
1,,0,0,13750,1977,0,0,0,,,
1,,0,0,3500,1977,0,0,0,,,
1,,495,0,23750,1977,1,1680,140,1,360,30
1,,6000,0,,1977,1,1080,700,1,,300
1,,0,0,,1977,1,1080,90,1,1080,90
1,,0,0,4500,1977,0,0,0,,,
1,,0,0,2500,1977,1,348,29,1,,
1,,0,0,27500,1977,1,0,0,,,
1,,0,0,18750,1977,1,360,480,1,,300
1,,0,0,13750,1977,1,312,0,1,,
1,,0,0,6750,1977,1,480,0,1,480,
1,,0,0,2500,1977,1,108,9,1,108,9
1,,0,0,9500,1977,0,0,0,,,
1,,2000,0,5500,1977,1,804,0,1,,
1,,289,289,11750,1977,0,0,0,,,
1,,0,0,37500,1977,1,5400,0,1,600,
1,,595,595,9500,1977,1,540,850,1,,250
1,,0,0,9500,1977,0,0,0,,,
1,,1020,980,11750,1977,1,300,3,1,300,3
1,,0,0,,1977,1,120,10,1,,
1,,850,0,,1977,0,0,0,,,
1,,85,0,27500,1977,1,1920,150,1,600,
1,,0,0,11750,1977,0,0,0,,,
1,,440,360,8250,1977,1,0,0,1,,
1,,1000,0,32500,1977,1,660,0,1,360,
1,,170,0,11750,1977,1,0,0,1,,
1,,0,0,10500,1977,1,0,0,,,
1,,235,235,32500,1977,1,12420,1000,1,3600,500
1,,2050,700,21250,1977,1,5280,0,1,720,
1,,150,0,,1977,0,0,0,,,
1,,0,0,16250,1977,0,0,0,,,
1,,0,0,27500,1977,1,5880,550,1,3000,200
1,,1993,1500,21250,1977,1,996,200,1,996,200
1,,2168,768,16250,1977,1,0,0,,,
1,,300,300,5500,1977,1,3600,900,1,3600,900
1,,328,328,,1977,0,0,0,,,
1,,390,0,,1977,1,1320,1000,1,1200,1000
1,,1500,1500,13750,1977,1,0,0,1,,
1,,0,0,13750,1977,0,0,0,,,
1,,0,0,10500,1977,0,0,0,,,
1,,0,0,,1977,0,0,0,,,
1,,0,0,23750,1977,1,7512,626,1,312,26
1,,250,0,21250,1977,1,240,0,1,240,
1,,200,0,13750,1977,1,300,0,1,,
1,,1000,0,16250,1977,0,0,0,,,
1,,0,0,2500,1977,1,0,0,,,
1,,840,0,16250,1977,1,1572,48,1,1008,48
1,,990,900,18750,1977,1,360,0,,,
1,,370,0,27500,1977,1,960,0,,,
1,,0,0,10500,1977,0,0,0,,,
1,,0,0,16250,1977,1,552,0,,,
1,,450,450,21250,1977,1,5364,450,1,120,450
1,,1390,0,3500,1977,1,0,0,1,,
1,,0,0,6750,1977,1,2400,1100,1,1800,300
1,,0,0,21250,1977,1,1824,0,1,,
1,,830,0,27500,1977,1,7500,0,1,5760,
1,,800,0,62500,1977,1,3900,0,1,360,
1,,0,0,13750,1977,1,924,0,1,684,
1,,269,269,13750,1977,1,0,550,1,,550
1,,1400,1400,32500,1977,1,1200,0,1,,
1,,906,0,62500,1977,1,5520,460,1,4200,350
1,,1000,500,10500,1977,1,3000,0,1,3000,
1,,1900,1900,16250,1977,1,0,359,1,,359
1,,0,0,9500,1977,1,9000,0,1,1800,
1,,0,0,9500,1977,0,0,0,,,
1,,2999,624,21250,1977,1,0,624,1,,624
1,,1400,1400,27500,1977,1,96,0,1,96,
1,,1800,0,13750,1977,1,4800,815,1,,
1,,245,160,11750,1977,1,840,0,1,840,
1,,0,0,6750,1977,0,0,0,,,
1,,0,0,5500,1977,0,0,0,,,
1,,0,0,32500,1977,1,3000,1000,1,1200,200
1,,4845,0,16250,1977,1,0,0,,,
1,,0,0,18750,1977,1,0,0,1,,
1,,0,0,5500,1977,0,0,0,,,
1,,0,0,2500,1977,0,0,0,,,
1,,0,0,8250,1977,0,0,0,,,
1,,450,0,18750,1977,0,0,0,,,
1,,560,0,,1977,1,468,0,1,228,
1,,0,0,10500,1977,1,900,50,1,300,50
1,,425,425,13750,1977,0,0,0,,,
1,,0,0,2500,1977,0,0,0,,,
1,,0,0,13750,1977,1,0,0,1,,
1,,0,0,11750,1977,1,0,0,1,,
1,,0,0,23750,1977,1,300,1600,1,300,1600
1,,0,0,16250,1977,1,468,0,,,
1,,0,0,2500,1977,0,0,0,,,
1,,350,0,5500,1977,1,240,0,,,
1,,0,0,8250,1977,1,600,0,1,600,
1,,0,0,4500,1977,0,0,0,,,
1,,220,0,,1977,0,0,0,,,
1,,2371.32436429894,800,3500,1977,0,0,0,,,
1,,0,0,3500,1977,1,888,64,1,888,64
1,,0,0,21250,1977,0,0,0,,,
1,,0,0,37500,1977,1,1080,600,1,480,300
1,,315,0,10500,1977,1,0,0,,,
1,,0,0,3500,1977,0,0,0,,,
1,,0,0,4500,1977,0,0,0,,,
1,,0,0,27500,1977,1,360,15,1,360,15
1,,750,250,23750,1977,1,5400,0,1,1200,
1,,875,875,16250,1977,1,2100,0,1,1200,
1,,575,0,27500,1977,1,1620,1050,1,480,350
1,,0,0,18750,1977,1,600,0,1,,
1,,0,0,3500,1977,0,0,0,,,
1,,750,750,13750,1977,1,60,750,1,,450
1,,299,299,4500,1977,1,1200,875,1,,375
1,,0,0,5500,1977,1,0,0,1,,
1,,0,0,,1977,0,0,0,,,
1,,1335,1335,18750,1977,1,1152,0,1,,
1,,879,0,23750,1977,1,3600,300,1,3600,300
1,,0,0,,1977,1,372,0,1,,
1,,400,0,27500,1977,1,0,33,1,,33
1,,0,0,9500,1977,1,0,800,1,,800
1,,119,119,9500,1977,1,0,187,1,,187
1,,725,0,37500,1977,1,4740,2800,1,,2000
1,,0,0,8250,1977,1,0,900,1,,200
1,,0,0,16250,1977,1,924,77,,,
1,,3090,0,27500,1977,1,2520,0,1,1500,
1,,300,0,37500,1977,1,2400,0,1,,
1,,2200,2200,32500,1977,1,2940,1882,1,900,1000
1,,4800,0,21250,1977,1,1092,213,1,600,200
1,,70,70,18750,1977,1,0,400,1,,400
1,,175,0,23750,1977,1,156,220,1,,200
1,,0,0,21250,1977,1,936,78,1,,
1,,0,0,11750,1977,1,6000,320,1,,20
1,,0,0,,1977,1,456,0,1,300,
1,,425,425,18750,1977,1,240,0,1,,
1,,2380,500,23750,1977,1,3600,0,1,1200,
1,,100,0,,1977,1,900,0,1,,
1,,600,600,13750,1977,1,7200,600,1,7200,600
1,,1250,0,18750,1977,1,2160,0,1,720,
1,,0,0,,1977,1,2160,150,1,1800,150
1,,0,0,,1977,1,0,0,1,,
1,,35,0,,1977,0,0,0,,,
1,,850,550,16250,1977,1,1800,130,1,1800,130
1,,688,0,18750,1977,1,0,0,1,,
1,,995,995,,1977,0,0,0,,,
1,,0,0,9500,1977,1,0,0,1,,
1,,900,900,21250,1977,1,4836,0,1,3600,
1,,609,0,3500,1977,0,0,0,,,
1,,0,0,3500,1977,0,0,0,,,
1,,746,369,11750,1977,1,4428,430,1,4428,430
1,,450,0,13750,1977,0,0,0,,,
1,,0,0,2500,1977,0,0,0,,,
1,,1200,1200,6750,1977,0,0,0,,,
1,,300,0,27500,1977,1,1596,0,1,,
1,,0,0,5500,1977,0,0,0,,,
1,,285,0,13750,1977,1,14400,1200,,,
1,,0,0,5500,1977,0,0,0,,,
1,,0,0,,1977,1,0,0,1,,
1,,0,0,18750,1977,1,600,1000,1,600,1000
1,,0,0,2500,1977,0,0,0,,,
1,,200,0,27500,1977,1,600,0,1,,
1,,0,0,2500,1977,0,0,0,,,
1,,118,0,5500,1977,0,0,0,,,
1,,0,0,13750,1977,0,0,0,,,
1,,0,0,13750,1977,0,0,0,,,
1,,700,0,16250,1977,0,0,0,,,
1,,260,260,8250,1977,1,252,0,1,,
1,,400,0,2500,1977,0,0,0,,,
1,,1305,645,16250,1977,1,2400,360,1,,160
1,,0,0,9500,1977,1,600,23,1,600,23
1,,1400,1200,27500,1977,1,960,600,1,360,600
1,,699,349,9500,1977,1,5892,450,1,5400,450
1,,0,0,2500,1977,1,0,0,1,,
1,,265,0,,1977,0,0,0,,,
1,,1604,0,62500,1977,1,3240,1400,1,840,900
1,,0,0,,1977,0,0,0,,,
1,,399,399,3500,1977,0,0,0,,,
1,,1600,0,,1977,1,624,20,1,,
1,,250,250,,1977,0,0,0,,,
1,,950,0,32500,1977,1,0,0,,,
1,,300,0,18750,1977,1,0,0,1,,
1,,1220,0,8250,1977,0,0,0,,,
1,,0,0,11750,1977,0,0,0,,,
1,,200,0,6750,1977,0,0,0,,,
1,,1350,0,13750,1977,1,5160,1100,1,360,
1,,1100,0,9500,1977,1,1548,965,1,600,165
1,,0,0,,1977,1,0,0,1,,
1,,0,0,21250,1977,0,0,0,,,
1,,0,0,,1977,0,0,0,,,
1,,1200,0,18750,1977,1,3900,300,1,3600,100
1,,0,0,,1977,1,0,0,,,
1,,499,499,6750,1977,0,0,0,,,
1,,0,0,8250,1977,0,0,0,,,
1,,550,0,,1977,1,0,0,,,
1,,0,0,,1977,1,1320,0,1,420,
1,,1225,0,8250,1977,1,300,0,1,300,
1,,0,0,13750,1977,0,0,0,,,
1,,0,0,3500,1977,0,0,0,,,
1,,1000,225,27500,1977,1,3960,0,1,360,
1,,530,530,13750,1977,1,0,0,1,,
1,,199,0,21250,1977,1,1380,0,1,540,
1,,0,0,5500,1977,0,0,0,,,
1,,0,0,,1977,0,0,0,,,
1,,770,0,62500,1977,1,6120,0,1,2400,
1,,0,0,,1977,,0,0,,,
1,,320,320,32500,1977,1,2820,700,1,600,400
1,,2875,0,13750,1977,1,1020,20,1,240,20
1,,865,0,32500,1977,1,10860,0,1,2400,
1,,349,0,18750,1977,1,996,363,1,240,300
1,,806,356,18750,1977,1,2100,700,1,1800,300
1,,580,480,8250,1977,0,0,0,,,
1,,549,549,10500,1977,1,360,4,1,300,1
1,,0,0,,1977,1,0,0,1,,
1,,0,0,1000,1977,1,0,0,1,,
1,,700,0,6750,1977,0,0,0,,,
1,,1006,0,21250,1977,1,0,0,,,
1,,734,734,4500,1977,0,0,0,,,
