NAME,state,r_90,r_77,r_change,st,ever_nolimit,year,r_usury,nolimit
Massachusetts,MA,18,18,0,25,0,1989,18,0
Maryland,MD,24,18,6,24,0,1985,24,0
Maryland,MD,24,18,6,24,0,1980,18,0
Maryland,MD,24,18,6,24,0,1984,24,0
Maryland,MD,24,18,6,24,0,1975,18,0
Maryland,MD,24,18,6,24,0,1972,18,0
Maryland,MD,24,18,6,24,0,1977,18,0
Maryland,MD,24,18,6,24,0,1971,18,0
Maryland,MD,24,18,6,24,0,1976,18,0
Maryland,MD,24,18,6,24,0,1974,18,0
Maryland,MD,24,18,6,24,0,1988,24,0
Maryland,MD,24,18,6,24,0,1982,18,0
Maryland,MD,24,18,6,24,0,1978,18,0
Maryland,MD,24,18,6,24,0,1986,24,0
Maryland,MD,24,18,6,24,0,1981,18,0
Maryland,MD,24,18,6,24,0,1987,24,0
Maryland,MD,24,18,6,24,0,1979,18,0
Maryland,MD,24,18,6,24,0,1973,18,0
Maryland,MD,24,18,6,24,0,1990,24,0
Maryland,MD,24,18,6,24,0,1983,24,0
Maine,ME,18,18,0,23,0,1989,18,0
Maine,ME,18,18,0,23,0,1975,18,0
Maine,ME,18,18,0,23,0,1977,18,0
Maine,ME,18,18,0,23,0,1990,18,0
Maine,ME,18,18,0,23,0,1978,18,0
Maine,ME,18,18,0,23,0,1983,18,0
Maine,ME,18,18,0,23,0,1979,18,0
Maine,ME,18,18,0,23,0,1985,18,0
Maine,ME,18,18,0,23,0,1981,18,0
Maine,ME,18,18,0,23,0,1982,18,0
Maine,ME,18,18,0,23,0,1980,18,0
Maine,ME,18,18,0,23,0,1976,18,0
Maine,ME,18,18,0,23,0,1984,18,0
Maine,ME,18,18,0,23,0,1986,18,0
Maine,ME,18,18,0,23,0,1987,18,0
Michigan,MI,20.4,20.4,0,26,0,1983,20.4,0
Michigan,MI,20.4,20.4,0,26,0,1981,20.4,0
Michigan,MI,20.4,20.4,0,26,0,1984,20.4,0
Michigan,MI,20.4,20.4,0,26,0,1977,20.4,0
Michigan,MI,20.4,20.4,0,26,0,1975,20.4,0
Michigan,MI,20.4,20.4,0,26,0,1989,20.4,0
Michigan,MI,20.4,20.4,0,26,0,1986,20.4,0
Michigan,MI,20.4,20.4,0,26,0,1980,20.4,0
Michigan,MI,20.4,20.4,0,26,0,1972,20.4,0
Michigan,MI,20.4,20.4,0,26,0,1979,20.4,0
Michigan,MI,20.4,20.4,0,26,0,1987,20.4,0
Michigan,MI,20.4,20.4,0,26,0,1973,20.4,0
Michigan,MI,20.4,20.4,0,26,0,1985,20.4,0
Michigan,MI,20.4,20.4,0,26,0,1976,20.4,0
Michigan,MI,20.4,20.4,0,26,0,1974,20.4,0
Michigan,MI,20.4,20.4,0,26,0,1982,20.4,0
Michigan,MI,20.4,20.4,0,26,0,1990,20.4,0
Michigan,MI,20.4,20.4,0,26,0,1988,20.4,0
Michigan,MI,20.4,20.4,0,26,0,1971,20.4,0
Minnesota,MN,18,12,6,27,0,1989,18,0
Minnesota,MN,18,12,6,27,0,1979,12,0
Minnesota,MN,18,12,6,27,0,1987,18,0
Minnesota,MN,18,12,6,27,0,1982,18,0
Minnesota,MN,18,12,6,27,0,1978,12,0
Minnesota,MN,18,12,6,27,0,1984,18,0
Minnesota,MN,18,12,6,27,0,1977,12,0
Minnesota,MN,18,12,6,27,0,1975,12,0
Minnesota,MN,18,12,6,27,0,1980,12,0
Minnesota,MN,18,12,6,27,0,1981,15.9,0
Minnesota,MN,18,12,6,27,0,1976,12,0
Minnesota,MN,18,12,6,27,0,1986,18,0
Minnesota,MN,18,12,6,27,0,1988,18,0
Minnesota,MN,18,12,6,27,0,1990,18,0
Minnesota,MN,18,12,6,27,0,1983,18,0
Missouri,MO,18,18,0,29,0,1974,18,0
Missouri,MO,18,18,0,29,0,1979,18,0
Missouri,MO,18,18,0,29,0,1971,18,0
Missouri,MO,18,18,0,29,0,1987,18,0
Missouri,MO,18,18,0,29,0,1975,18,0
Missouri,MO,18,18,0,29,0,1985,18,0
Missouri,MO,18,18,0,29,0,1978,18,0
Missouri,MO,18,18,0,29,0,1973,18,0
Missouri,MO,18,18,0,29,0,1972,18,0
Missouri,MO,18,18,0,29,0,1976,18,0
Missouri,MO,18,18,0,29,0,1990,18,0
Missouri,MO,18,18,0,29,0,1989,18,0
Missouri,MO,18,18,0,29,0,1982,18,0
Missouri,MO,18,18,0,29,0,1980,18,0
Missouri,MO,18,18,0,29,0,1988,18,0
Missouri,MO,18,18,0,29,0,1977,18,0
Missouri,MO,18,18,0,29,0,1984,18,0
Missouri,MO,18,18,0,29,0,1986,18,0
Missouri,MO,18,18,0,29,0,1983,18,0
Mississippi,MS,21,18,3,28,0,1978,18,0
Mississippi,MS,21,18,3,28,0,1977,18,0
Mississippi,MS,21,18,3,28,0,1987,21,0
Mississippi,MS,21,18,3,28,0,1989,21,0
Mississippi,MS,21,18,3,28,0,1981,21,0
Mississippi,MS,21,18,3,28,0,1980,18,0
Mississippi,MS,21,18,3,28,0,1988,21,0
Mississippi,MS,21,18,3,28,0,1983,21,0
Mississippi,MS,21,18,3,28,0,1990,21,0
Mississippi,MS,21,18,3,28,0,1975,18,0
Mississippi,MS,21,18,3,28,0,1979,18,0
Mississippi,MS,21,18,3,28,0,1976,18,0
Mississippi,MS,21,18,3,28,0,1985,21,0
Mississippi,MS,21,18,3,28,0,1982,21,0
Mississippi,MS,21,18,3,28,0,1984,21,0
Montana,MT,30,18,12,30,1,1990,30,1
Montana,MT,30,18,12,30,1,1982,30,1
Montana,MT,30,18,12,30,1,1978,18,0
Montana,MT,30,18,12,30,1,1984,30,1
Montana,MT,30,18,12,30,1,1989,30,1
Montana,MT,30,18,12,30,1,1981,18,0
Montana,MT,30,18,12,30,1,1980,18,0
Montana,MT,30,18,12,30,1,1979,18,0
Montana,MT,30,18,12,30,1,1977,18,0
Montana,MT,30,18,12,30,1,1983,30,1
Montana,MT,30,18,12,30,1,1976,18,0
